"name","quantity","price","calories"
"Baked beans; in tomato sauce; canned; Watties",728,138,550
"Spinach; leafy vegetable; raw; English",686,789,93
"Oats; grains rolled; toasted; Rolled Oats; Harraways",1669,450,6077
"Cheese; Edam; Anchor",346,276,1251
"Lamb; offal; lambs fry; fried",202,103,327
"Scallop; raw",45,364,36
"Bean; seed vegetable; seed; dry; Mung",1174,493,3192
"Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14)",359,237,202
"Nut; peanut; roasted; no salt added",142,85,885
"Nut; walnut; raw",390,781,2733
