quantity,riboflavin,chromium,o3_epa_dha_dpa,name,molybdenum,vitamin_k1,potassium,manganese,iodine,niacin_ne,quantity_unit,vitamin_c,mercury,copper,vitamin_b6,calories,vitamin_b12,price,biotin,thiamin,iron,price_100g,folate_dfe,vit_e_a_tocopherol,zinc,pantothenic_acid,calcium,protein,id,magnesium,edible_portion,phosphorus,selenium,vitamin_a_rae
420.0,0.0,0.002,0.0,Baked beans; in tomato sauce; canned; Watties,0.022,0.0,280.0,0.33,3.0,1.17,g,0.0,0.0001,0.17,0.12,75.6,0.0,80.0,0.0,0.01,1.2,19,0.0375,0.0,0.55,0.0,35.0,5.0,38,29.0,1.0,90.0,0.0028,13.36
400.0,0.24,0.0,0.001,Spinach; leafy vegetable; raw; English,0.0,0.1148,710.0,0.74,11.4,1.01,g,2.9,0.0,0.07,0.16,13.6,0.0,399.0,0.0,0.0,4.4,115,0.199,0.0,0.62,0.0,69.0,2.5,74,74.0,0.8692,47.0,0.0,403.14
130.0,0.25,0.0,0.001,Salad; leafy vegetable; raw; Mesclun; composite,0.0,0.1361,400.0,0.63,8.4,0.73,g,4.4,0.0,0.06,0.31,12.7,0.0,399.0,0.0,0.0,1.11,307,0.157,0.0,0.37,0.0,150.0,2.5,73,31.0,1.0,37.0,0.0,481.63
800.0,0.16,0.0134,0.0,Pork; bacon; separable lean; dry fried,0.00404,0.0,748.0,0.03183,1.06,11.6,g,0.0,2.4e-4,0.14,0.23,280.16,0.0006,1.3e3,0.005,0.56,2.06,163,0.002,0.0,3.87,1.5,12.9,41.38,46,42.2,1.0,834.0,0.0576,0.0
26.0,0.18,0.0,0.0,Spice; cardamom; ground,0.0,0.0,1120.0,28.0,2.3,2.9,g,0.0,0.0,0.38,0.23,313.29,0.0,699.0,0.0,0.2,14.0,2688,0.0,0.0,7.47,0.0,383.0,10.75,31,229.0,1.0,178.0,0.0187,0.0
250.0,0.1,0.0,0.0,Tempeh; fermented soy beans; fried in sunflower oil,0.0,0.0,542.0,1.94,0.0,7.8,g,0.0,0.0,0.78,0.16,445.73,0.0,600.0,0.0,0.09,9.2,240,0.029,0.0,1.7,0.0,74.0,23.18,35,115.0,1.0,200.0,0.0,22.38
1.0,0.03,4.5e-4,0.0,Rice; white; polished; boiled,0.02,0.0,15.9,0.722,0.31,0.99,kg,0.0,0.0,0.1,0.02,118.01,0.0,289.0,0.0012,0.0,0.13,10,0.003,0.0,1.23,0.23,3.9,3.21,39,8.66,1.0,33.2,0.0,0.0
1.0,1.31,0.0,0.006,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,0.0,0.0,220.0,0.0047,8.9,1.29,kg,0.0,0.0,0.0,0.06,63.41,5.8e-4,550.0,0.0,0.02,0.0,55,0.0,0.0,0.6,0.3,167.0,5.68,53,14.4,1.0,124.0,0.0017,38.89
1.0,0.14,0.0,0.0,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,0.0,0.0,210.0,0.12,6.0,1.05,ea,144.0,0.0,0.04,0.56,25.55,0.0,189.0,0.0,0.0,0.34,21402,0.085,0.01,0.2,0.0,6.3,0.94,70,9.8,0.8831,24.0,0.0,155.31
1.0,0.02,0.0,0.0,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,0.0,0.0,260.0,0.13,0.28,1.49,kg,9.0,0.0,0.09,0.16,62.68,0.0,299.0,0.0,0.02,0.33,30,0.0141,0.06,0.24,0.0,2.7,1.41,78,14.0,1.0,28.0,4.7e-4,1.17
200.0,0.12,0.0,0.0,Sprout; bean; seed; germinated; raw; mung,0.0234,0.0,144.0,0.30058,0.44,1.1,g,0.0,0.0,0.08,0.08,22.83,0.0,179.0,0.001,0.11,0.4,90,0.061,0.06,0.33,0.0,18.6,2.88,37,18.7,1.0,50.5,0.00136,2.0
1.0,0.02,0.0,0.0,Pineapple; flesh; raw,0.0,0.0,250.0,1.92,0.13,0.3,ea,25.0,0.0,0.08,0.09,49.4,0.0,299.0,0.0003,0.08,0.4,56415,0.005,0.1,0.1,0.16,12.0,0.5,36,17.0,0.53,8.0,0.0008,10.02
750.0,0.1,0.0,0.0,Oats; grains rolled; toasted; Rolled Oats; Harraways,0.0,0.0,370.0,5.6,0.0,2.56,g,0.0,0.0,0.38,0.39,364.04,0.0,200.0,0.0,0.31,4.5,27,0.088,0.15,2.7,0.0,68.0,12.53,30,140.0,1.0,440.0,0.001,0.0
