vitamin_a_rae,folate_dfe,phosphorus,iron,niacin_ne,mercury,name,vitamin_c,edible_portion,vit_e_a_tocopherol,pantothenic_acid,molybdenum,chromium,riboflavin,copper,biotin,price,potassium,iodine,o3_epa_dha_dpa,vitamin_k1,protein,quantity_unit,calories,vitamin_b6,vitamin_b12,zinc,thiamin,calcium,magnesium,manganese,quantity,price_100g,selenium
1.11e4,0.5,350.0,9.1,15.11,0.0,Chicken; liver in flour; fried,13.0,0.84,0.34,5.5,0.0,0.0,1.7,0.53,0.17,595.0,290.0,2.7,0.0,0.0,20.69,kg,193.25,0.45,0.049,3.4,0.37,15.0,23.0,0.278,1.0,71,0.064
0.67,0.145,388.0,1.2,22.8,0.0,Nut; peanut; roasted; no salt added,0.0,1.0,6.93,1.7,0.0,0.0,0.15,0.5,0.13,600.0,540.0,0.74,0.0,0.0,24.99,kg,622.98,0.3,0.0,2.4,0.35,31.0,180.0,1.59,1.0,60,0.0046
0.84,0.081,320.0,1.4,22.75,0.0,Peanut butter; smooth & crunchy salt added; no sugar added,0.0,1.0,3.85,1.5,0.018,0.0,0.14,0.48,0.098,470.0,480.0,3.0,0.0,0.0,28.81,g,571.66,0.05,0.0,1.8,0.0,32.0,130.0,1.3,500.0,94,0.01095
0.0,0.0091,160.0,3.6,1.85,0.0,Coconut; desiccated,0.0,1.0,1.26,0.81,0.0,0.0,0.04,0.55,0.087,399.0,750.0,3.0,0.0,0.0,5.57,g,604.66,0.3,0.0,1.7,0.06,22.0,90.0,2.28,500.0,80,0.0032
72.56,0.31,274.0,89.8,9.32,0.0,Herb; basil; dried,0.8,1.0,10.78,0.84,0.0,0.0,1.2,2.1,0.0,399.0,2630.0,1.8,0.0,0.0,22.98,g,167.83,1.34,0.0,7.1,0.08,2240.0,711.0,9.8,10.0,3990,0.003
19.21,0.006,61.4,38.1,1.61,0.0,Spice; cinnamon; ground,28.5,1.0,3.36,0.0,0.0,0.0,0.14,0.23,0.0,200.0,500.0,0.1,0.0,0.0,3.89,g,146.15,0.25,0.0,1.97,0.08,1230.0,55.6,17.466,32.0,625,0.015
301.08,0.0104,605.0,0.17,6.5,0.0,Cheese; Gruyere,0.0,1.0,0.58,0.56,0.0,0.0,0.28,0.03,0.0015,900.0,81.0,5.5,0.0,0.0,29.79,g,410.24,0.08,0.0016,3.9,0.06,1010.0,35.9,0.017,200.0,450,0.0145
38.7,0.037,193.0,0.28,4.46,0.0054,Scallop; raw,1.2,0.37,0.84,0.13,0.0,0.185,0.13,0.11,0.0033,899.0,259.0,245.0,0.0,0.0,14.94,g,80.3,0.36,0.00134,1.94,0.06,21.2,38.3,0.082,300.0,810,0.0231
3.51,0.066,320.0,3.3,5.85,0.0,Nut; walnut; raw,3.1,1.0,15.0,1.13,0.0325,0.034,0.07,1.59,0.0025,900.0,575.0,9.0,0.0,0.0,25.71,g,699.36,0.92,0.0,2.3,0.32,129.0,97.9,4.09,450.0,200,0.058
0.0,0.00151,389.44,2.58,10.67,0.0,Pork; loin steak; separable lean 98%; intermuscular fat 2%; grilled,0.78,0.78,0.2,0.87,0.0,0.02686,0.09,0.24,0.00352,1799.0,697.91,0.93,0.0,0.0,30.1,kg,159.83,0.09,5.4e-4,3.46,0.93,8.26,38.51,0.02787,1.0,231,0.0166
