calories,quantity,folate_dfe,vitamin_b6,zinc,molybdenum,iodine,vit_e_a_tocopherol,name,potassium,quantity_unit,iron,o3_epa_dha_dpa,vitamin_k1,vitamin_c,niacin_ne,mercury,price_100g,edible_portion,manganese,copper,protein,selenium,phosphorus,calcium,magnesium,riboflavin,biotin,vitamin_a_rae,id,pantothenic_acid,thiamin,chromium,vitamin_b12,price
75.6,420.0,0.0375,0.12,0.55,0.022,3.0,0.0,Baked beans; in tomato sauce; canned; Watties,280.0,g,1.2,0.0,0.0,0.0,1.17,0.0001,19,1.0,0.33,0.17,5.0,0.0028,90.0,35.0,29.0,0.0,0.0,13.36,38,0.0,0.01,0.002,0.0,80.0
13.6,400.0,0.199,0.16,0.62,0.0,11.4,0.0,Spinach; leafy vegetable; raw; English,710.0,g,4.4,0.001,0.1148,2.9,1.01,0.0,115,0.8692,0.74,0.07,2.5,0.0,47.0,69.0,74.0,0.24,0.0,403.14,74,0.0,0.0,0.0,0.0,399.0
12.7,130.0,0.157,0.31,0.37,0.0,8.4,0.0,Salad; leafy vegetable; raw; Mesclun; composite,400.0,g,1.11,0.001,0.1361,4.4,0.73,0.0,307,1.0,0.63,0.06,2.5,0.0,37.0,150.0,31.0,0.25,0.0,481.63,73,0.0,0.0,0.0,0.0,399.0
118.01,1.0,0.003,0.02,1.23,0.02,0.31,0.0,Rice; white; polished; boiled,15.9,kg,0.13,0.0,0.0,0.0,0.99,0.0,10,1.0,0.722,0.1,3.21,0.0,33.2,3.9,8.66,0.03,0.0012,0.0,39,0.23,0.0,4.5e-4,0.0,289.0
63.41,1.0,0.0,0.06,0.6,0.0,8.9,0.0,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,220.0,kg,0.0,0.006,0.0,0.0,1.29,0.0,55,1.0,0.0047,0.0,5.68,0.0017,124.0,167.0,14.4,1.31,0.0,38.89,53,0.3,0.02,0.0,5.8e-4,550.0
280.16,800.0,0.002,0.23,3.87,0.00404,1.06,0.0,Pork; bacon; separable lean; dry fried,748.0,g,2.06,0.0,0.0,0.0,11.6,2.4e-4,163,1.0,0.03183,0.14,41.38,0.0576,834.0,12.9,42.2,0.16,0.005,0.0,46,1.5,0.56,0.0134,0.0006,1.3e3
25.55,1.0,0.085,0.56,0.2,0.0,6.0,0.01,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,210.0,ea,0.34,0.0,0.0,144.0,1.05,0.0,21402,0.8831,0.12,0.04,0.94,0.0,24.0,6.3,9.8,0.14,0.0,155.31,70,0.0,0.0,0.0,0.0,189.0
313.29,26.0,0.0,0.23,7.47,0.0,2.3,0.0,Spice; cardamom; ground,1120.0,g,14.0,0.0,0.0,0.0,2.9,0.0,2688,1.0,28.0,0.38,10.75,0.0187,178.0,383.0,229.0,0.18,0.0,0.0,31,0.0,0.2,0.0,0.0,699.0
445.73,250.0,0.029,0.16,1.7,0.0,0.0,0.0,Tempeh; fermented soy beans; fried in sunflower oil,542.0,g,9.2,0.0,0.0,0.0,7.8,0.0,240,1.0,1.94,0.78,23.18,0.0,200.0,74.0,115.0,0.1,0.0,22.38,35,0.0,0.09,0.0,0.0,600.0
62.68,1.0,0.0141,0.16,0.24,0.0,0.28,0.06,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,260.0,kg,0.33,0.0,0.0,9.0,1.49,0.0,30,1.0,0.13,0.09,1.41,4.7e-4,28.0,2.7,14.0,0.02,0.0,1.17,78,0.0,0.02,0.0,0.0,299.0
22.83,200.0,0.061,0.08,0.33,0.0234,0.44,0.06,Sprout; bean; seed; germinated; raw; mung,144.0,g,0.4,0.0,0.0,0.0,1.1,0.0,90,1.0,0.30058,0.08,2.88,0.00136,50.5,18.6,18.7,0.12,0.001,2.0,37,0.0,0.11,0.0,0.0,179.0
23.64,1.0,0.01,0.01,0.2,0.0,0.44,0.2,Carrot; root vegetable; taproot; frozen; raw; Red Cored Chantenay,110.0,kg,0.37,0.0,0.0,2.1,0.65,0.0,30,1.0,0.13,0.05,0.63,1.5e-4,14.0,27.0,7.0,0.01,0.0006,1486.3,62,0.19,0.03,0.0,0.0,299.0
160.65,1.0,0.0013,0.16,3.36,0.0,0.93,0.2,Pork; schnitzel; lean; fried,572.0,kg,1.98,0.0,0.0,0.8,11.11,0.0,250,1.0,0.026,0.09,31.5,0.0066,349.0,7.0,36.0,0.07,0.0037,0.0,60,1.03,0.81,0.0,5.1e-4,2499.0
364.04,750.0,0.088,0.39,2.7,0.0,0.0,0.15,Oats; grains rolled; toasted; Rolled Oats; Harraways,370.0,g,4.5,0.0,0.0,0.0,2.56,0.0,27,1.0,5.6,0.38,12.53,0.001,440.0,68.0,140.0,0.1,0.0,0.0,30,0.0,0.31,0.0,0.0,200.0
49.4,1.0,0.005,0.09,0.1,0.0,0.13,0.1,Pineapple; flesh; raw,250.0,ea,0.4,0.0,0.0,25.0,0.3,0.0,56415,0.53,1.92,0.08,0.5,0.0008,8.0,12.0,17.0,0.02,0.0003,10.02,36,0.16,0.08,0.0,0.0,299.0
539.76,100.0,0.098,0.75,10.2,0.0,2.3,0.25,Seed; sesame. roasted,406.0,g,7.78,0.0,0.0,0.0,11.64,0.0,149,1.0,1.55,2.47,16.96,0.0113,774.0,131.0,346.0,0.47,0.011,0.84,13,2.14,1.21,0.0,0.0,149.0
115.5,185.0,0.0,1.7,0.8,0.0,12.8,0.27,Tuna; in spring water; plain; canned; salt added; drained; composite,220.0,g,1.36,0.29600000000000004,0.0,0.0,18.49,0.0101,240,0.664,0.009,0.06,26.63,0.088,210.0,6.1,25.0,0.11,0.0,0.0,40,0.0,0.0,0.0,0.0042,295.0
126.62,1.0,0.0,0.1,0.87,0.0,21.6,0.3,Trevally; flesh; microwaved,495.0,kg,1.74,0.673,0.0,0.6,8.06,0.0,119,1.0,0.0179,0.12,24.75,0.0369,281.0,21.0,36.0,0.07,0.007,30.0,21,0.5,0.2,0.0,0.0008,1190.0
159.83,1.0,0.00151,0.09,3.46,0.0,0.93,0.2,Pork; loin steak; separable lean 98%; intermuscular fat 2%; grilled,697.91,kg,2.58,0.0,0.0,0.78,10.67,0.0,231,0.78,0.02787,0.24,30.1,0.0166,389.44,8.26,38.51,0.09,0.00352,0.0,10,0.87,0.93,0.02686,5.4e-4,1799.0
303.4,350.0,0.005,0.04,1.3,0.0,8.02,0.24,Sausage; black pudding; fried,140.0,g,20.0,0.0,0.0,1.0,3.91,0.0,86,1.0,0.62,0.37,12.88,0.017,110.0,35.0,16.0,0.07,0.002,0.0,26,0.6,0.09,0.0,0.001,300.0
218.15,125.0,0.008,0.48,3.0,0.0,23.0,0.3,Sardines; canned; drained,430.0,g,2.9,0.0,0.0,1.0,12.77,0.0,116,0.83,0.112,0.19,23.69,0.034,520.0,550.0,52.0,0.36,0.005,68.0,49,0.5,0.04,0.0,0.014,120.0
193.25,1.0,0.5,0.45,3.4,0.0,2.7,0.34,Chicken; liver in flour; fried,290.0,kg,9.1,0.0,0.0,13.0,15.11,0.0,71,0.84,0.278,0.53,20.69,0.064,350.0,15.0,23.0,1.7,0.17,1.11e4,1,5.5,0.37,0.0,0.049,595.0
133.03,750.0,0.006,0.1,0.64,0.0,56.0,0.3,Snapper; flesh; baked,608.0,g,0.7,0.478,0.0,0.19,8.6,0.0,373,1.0,0.023,0.06,25.19,0.12,330.0,22.0,42.0,0.02,0.007,35.0,20,0.5,0.1,0.0,6.3e-4,2.8e3
61.12,1.0,0.027,0.14,0.84,0.0034,0.2,0.4,Mushroom; fungus; fried in butter,430.0,kg,0.53,0.0,0.0,0.7,2.82,0.0,120,1.0,0.068,0.49,3.54,0.053,120.0,8.1,15.0,0.28,0.008,174.2,44,2.82,0.0,0.012,0.0,1199.0
152.65,400.0,0.043,0.28,4.7,0.0,0.93,0.36,Pork; kidney; core removed; stewed; salt added,190.0,g,6.4,0.0,0.0,11.0,11.35,0.0,89,0.56,0.07,0.84,24.44,0.25,330.0,13.0,21.0,2.1,0.053,140.0,56,2.4,0.19,0.0,0.015,199.0
217.1,340.0,0.005,0.15,2.5,0.0,50.0,0.56,Beef; corned; canned; Corned Beef; Golden Country,195.0,g,3.0,0.016,0.0,0.0,7.1,0.0,176,1.0,0.029,0.16,15.8,0.0093,128.0,16.1,16.0,0.11,0.0,18.07,64,0.0,0.0,0.0,0.0038,599.0
102.82,650.0,0.00504,0.01,2.39,0.0,2.5,0.51,Beef; tripe; simmered,102.15,g,3.72,0.038,0.0,0.0,6.17,0.0,219,0.914,6.066,0.11,19.0,0.00428,168.45,157.63,24.36,0.1,0.0,5.87,34,0.23,0.02,0.0,0.00229,1299.0
410.24,200.0,0.0104,0.08,3.9,0.0,5.5,0.58,Cheese; Gruyere,81.0,g,0.17,0.0,0.0,0.0,6.5,0.0,450,1.0,0.017,0.03,29.79,0.0145,605.0,1010.0,35.9,0.28,0.0015,301.08,7,0.56,0.06,0.0,0.0016,900.0
133.9,1.0,0.02,0.29,0.85,0.0072,0.8,0.42,Chicken; deli cooked; breast; flesh; ready to eat; composite,370.0,kg,0.33,0.004,0.0,0.0,15.9,0.0001,110,1.0,0.013,0.03,28.75,0.03033,300.0,6.9,30.0,0.15,0.0,34.8,42,0.0,0.2,0.001,0.0003,1099.0
208.31,1.0,0.00594,0.15,7.81,0.0,1.25,0.9,Beef; forequarter chuck steak; separable lean; braised,188.52,kg,2.71,0.07200000000000001,0.0,0.0,7.03,0.0,119,0.91,0.01038,0.1,32.08,0.00208,156.96,5.85,19.14,0.14,0.0,12.16,77,0.0,0.03,0.0,0.00197,1087.0
361.59,1.0,0.0282,0.13,3.8,0.008,4.6,0.67,Cheese; Edam; Anchor,71.0,kg,0.05,0.0,0.0,0.0,5.78,4.9e-4,80,1.0,0.024,0.04,28.07,0.011,600.0,990.0,30.0,0.56,0.0,311.94,48,0.0,0.06,0.0041,0.0036,800.0
80.3,300.0,0.037,0.36,1.94,0.0,245.0,0.84,Scallop; raw,259.0,g,0.28,0.0,0.0,1.2,4.46,0.0054,810,0.37,0.082,0.11,14.94,0.0231,193.0,21.2,38.3,0.13,0.0033,38.7,8,0.13,0.06,0.185,0.00134,899.0
86.02,220.0,0.0099,0.04,15.0,0.0,97.0,0.85,Oyster; Pacific; flesh; raw,191.0,g,5.01,0.0,0.0,12.0,4.2,0.004,727,1.0,1.2,4.21,13.13,0.053,164.0,72.1,87.6,0.27,0.01,24.34,12,0.3,0.08,0.0,0.017,1.6e3
160.91,600.0,0.0,0.13,2.66,0.0,1.66,0.63,Lamb; offal; heart; simmered & drained,187.1,g,4.94,0.136,0.0,0.0,10.59,0.0,104,0.723,0.02774,0.64,26.26,0.0203,237.17,5.48,21.92,0.84,0.0,3.55,55,1.83,0.23,0.0,0.00918,449.0
578.05,250.0,0.025,0.35,5.5,0.0,11.0,0.73,Nut; cashew; raw,550.0,g,5.0,0.0,0.0341,0.0,7.31,0.0,280,1.0,1.51,1.9,17.01,0.033,530.0,34.0,250.0,0.19,0.021,1.0,14,1.9,0.64,0.0,0.0,699.0
31.73,1.0,0.0,0.07,0.08,0.0,0.83,0.78,Celery; stem vegetable; stalk; stir fried; green; American Green,426.32,ea,0.14,0.0,0.03834,0.75,0.18,0.0,54900,1.0,0.10658,0.02,0.68,0.0,30.09,47.65,10.41,0.05,0.0,11.8,75,0.31,0.01,0.0,0.0,549.0
107.33,500.0,0.0973,0.13,0.76,0.0,95.0,1.05,Mussel; green; meat; marinated; assorted flavoured; drained; ready to eat; Sealord,59.0,g,6.0,0.7010000000000001,0.0,0.0,4.59,0.0,584,0.514,0.121,0.08,13.23,0.035,158.0,21.0,30.0,0.23,0.0,51.42,19,0.0,0.0,0.0,0.0059,1.5e3
210.95,12.0,0.0875,0.03,1.3,0.011,55.0,1.52,Egg; chicken; white & yolk; fried in butter,160.0,ea,2.1,0.0,0.0,0.0,4.5,0.0,5833,1.0,0.029,0.06,15.0,0.027,230.0,65.0,14.0,0.38,0.0,221.85,22,0.0,0.07,0.0,0.00139,700.0
555.22,100.0,0.057,0.09,7.44,0.0,9.0,2.0,Seed; pumpkin; roasted; salt added,806.0,g,14.9,0.0,0.0,0.3,11.38,0.0,249,1.0,1.55,1.38,32.91,0.006,1170.0,43.0,534.0,0.32,0.082,0.92,28,0.04,0.2,0.0,0.0,249.0
604.66,500.0,0.0091,0.3,1.7,0.0,3.0,1.26,Coconut; desiccated,750.0,g,3.6,0.0,0.0,0.0,1.85,0.0,80,1.0,2.28,0.55,5.57,0.0032,160.0,22.0,90.0,0.04,0.087,0.0,4,0.81,0.06,0.0,0.0,399.0
271.95,1.0,0.216,0.38,2.7,0.0,0.13,1.97,Bean; seed vegetable; seed; dry; Mung,1250.0,kg,6.0,0.0,0.0,5.0,5.9,0.0,42,1.0,0.8,0.47,26.81,0.011,360.0,89.0,150.0,0.26,0.001,4.01,45,1.91,0.36,0.0,0.0,1050.0
162.24,1.0,0.43027,0.19,5.1,0.0,4.7,1.12,Lamb; offal; lambs fry; fried,287.2,kg,5.4,0.5509999999999999,0.0,0.0,17.88,0.0,51,0.986,0.37,13.4,25.8,0.01902,458.8,5.0,20.9,5.27,0.0,19872.0,11,5.22,1.57,0.0,0.0575,499.0
137.2,210.0,0.02,0.38,1.0,0.0,34.9,1.5,Salmon; chum; canned; drained,300.0,g,0.7,0.0,0.0,0.0,11.0,0.0,152,0.81,0.02,0.1,21.63,0.075,354.0,249.0,30.0,0.16,0.005,90.0,57,0.56,0.02,0.0,0.0044,259.0
26.63,1.0,0.049,0.33,0.47,0.0,0.18,0.98,Broccoli; inflorescent vegetable; raw,350.0,ea,0.6,0.0,0.0,99.0,1.2,0.0,25571,0.7,0.22,0.05,3.78,0.005,78.0,33.0,18.0,0.19,0.0,105.21,71,0.0,0.08,0.0,0.0,179.0
52.6,170.0,0.029,0.1,8.1,0.0,39.3,2.25,Crabmeat; in brine; canned,22.0,g,0.9,0.0,0.0,0.0,1.9,0.0,787,0.44,0.19,0.79,11.13,0.045,190.0,153.0,30.0,0.0,0.0034,5.85,76,0.24,0.0,0.0,3.1e-4,589.0
135.35,440.0,0.59259,0.45,3.4,0.0,4.11,1.28,Ox; offal; liver; fast-fried,336.0,g,7.17,0.267,0.0,0.0,20.52,0.0,85,0.981,0.328,5.73,23.3,0.01621,397.0,4.2,21.0,3.04,0.0,21013.7,15,9.8,0.38,0.0,0.096,369.0
15.66,50.0,0.28,0.19,0.27,0.0,2.7,1.3,Watercress; leafy vegetable; raw,180.0,g,2.24,0.0,0.0,75.0,0.77,0.0,1927,0.41,0.504,0.01,2.75,1.9e-4,33.3,52.7,13.2,0.04,3.2e-4,825.82,18,0.08,0.12,0.0,0.0,395.0
56.29,1.0,0.03064,0.08,0.08,0.0,0.0,1.42,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),315.0,kg,0.21,0.0,0.00607,161.33,0.57,0.0,83,0.7228,0.0476,0.15,1.02,4.4e-4,25.2,17.32,12.28,0.07,0.0,2.33,68,0.12,0.0,0.0,8.0e-5,599.0
56.25,1.0,0.03842,0.18,0.12,0.0,0.0,1.65,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),328.0,kg,0.22,0.0,0.01457,149.97,0.63,0.0,66,0.7524,0.1066,0.15,1.27,0.0008,28.6,27.0,16.22,0.11,0.0006,5.76,69,0.22,0.0,0.0,0.0002,499.0
202.65,500.0,0.011,0.14,0.8,0.0,2.2,2.4,Apricot; dried,1510.0,g,3.1,0.0,0.0,1.0,3.09,0.0,180,1.0,0.38,0.46,4.31,6.8e-4,120.0,67.0,57.0,0.2,0.0045,107.72,52,0.56,0.01,0.0,0.0,899.0
249.92,1.0,0.081,0.92,0.72,0.0,0.1,1.91,Avocado; flesh; raw; combined varieties,560.0,ea,0.77,0.0,0.0,7.3,1.6,0.0,22576,0.66,0.21,0.26,2.0,0.001,52.0,11.0,32.0,0.12,0.0,8.13,67,0.0,0.02,0.0,0.0,149.0
185.67,1.0,0.0,1.06,1.05,0.0,0.24,0.97,Chicken; mince; pan fried; with no added fat; premium; Tegal,445.68,kg,0.46,0.005,0.0,0.0,15.86,0.0,170,1.0,0.01592,0.03,34.65,0.03343,305.61,6.35,34.62,0.24,0.0,7.88,66,0.0,0.16,0.0,2.3e-4,1699.0
297.55,8.0,0.274,1.21,4.72,0.0,2.3,1.03,Herb; coriander; leaves; dried,4490.0,g,42.7,0.0,0.0,569.0,14.3,0.0,4988,1.0,6.36,1.79,21.94,0.0293,483.0,1250.0,697.0,1.51,0.0,1314.29,27,0.0,1.26,0.0,0.0,399.0
