mercury,chromium,copper,price_100g,pantothenic_acid,folate_dfe,iodine,name,potassium,magnesium,calcium,phosphorus,zinc,vitamin_b12,vitamin_k1,biotin,o3_epa_dha_dpa,manganese,vitamin_c,quantity,edible_portion,calories,iron,vitamin_a_rae,niacin_ne,vit_e_a_tocopherol,protein,vitamin_b6,molybdenum,price,quantity_unit,selenium,thiamin,riboflavin
0.0,0.0,0.53,71,5.5,0.5,2.7,Chicken; liver in flour; fried,290.0,23.0,15.0,350.0,3.4,0.049,0.0,0.17,0.0,0.278,13.0,1.0,0.84,193.25,9.1,1.11e4,15.11,0.34,20.69,0.45,0.0,595.0,kg,0.064,0.37,1.7
0.0,0.0,0.5,60,1.7,0.145,0.74,Nut; peanut; roasted; no salt added,540.0,180.0,31.0,388.0,2.4,0.0,0.0,0.13,0.0,1.59,0.0,1.0,1.0,622.98,1.2,0.67,22.8,6.93,24.99,0.3,0.0,600.0,kg,0.0046,0.35,0.15
0.0,0.0,0.48,94,1.5,0.081,3.0,Peanut butter; smooth & crunchy salt added; no sugar added,480.0,130.0,32.0,320.0,1.8,0.0,0.0,0.098,0.0,1.3,0.0,500.0,1.0,571.66,1.4,0.84,22.75,3.85,28.81,0.05,0.018,470.0,g,0.01095,0.0,0.14
0.0,0.0,0.55,80,0.81,0.0091,3.0,Coconut; desiccated,750.0,90.0,22.0,160.0,1.7,0.0,0.0,0.087,0.0,2.28,0.0,500.0,1.0,604.66,3.6,0.0,1.85,1.26,5.57,0.3,0.0,399.0,g,0.0032,0.06,0.04
0.0,0.0,2.1,3990,0.84,0.31,1.8,Herb; basil; dried,2630.0,711.0,2240.0,274.0,7.1,0.0,0.0,0.0,0.0,9.8,0.8,10.0,1.0,167.83,89.8,72.56,9.32,10.78,22.98,1.34,0.0,399.0,g,0.003,0.08,1.2
0.0,0.0,0.23,625,0.0,0.006,0.1,Spice; cinnamon; ground,500.0,55.6,1230.0,61.4,1.97,0.0,0.0,0.0,0.0,17.466,28.5,32.0,1.0,146.15,38.1,19.21,1.61,3.36,3.89,0.25,0.0,200.0,g,0.015,0.08,0.14
0.0,0.0,0.03,450,0.56,0.0104,5.5,Cheese; Gruyere,81.0,35.9,1010.0,605.0,3.9,0.0016,0.0,0.0015,0.0,0.017,0.0,200.0,1.0,410.24,0.17,301.08,6.5,0.58,29.79,0.08,0.0,900.0,g,0.0145,0.06,0.28
0.0054,0.185,0.11,810,0.13,0.037,245.0,Scallop; raw,259.0,38.3,21.2,193.0,1.94,0.00134,0.0,0.0033,0.0,0.082,1.2,300.0,0.37,80.3,0.28,38.7,4.46,0.84,14.94,0.36,0.0,899.0,g,0.0231,0.06,0.13
0.0,0.034,1.59,200,1.13,0.066,9.0,Nut; walnut; raw,575.0,97.9,129.0,320.0,2.3,0.0,0.0,0.0025,0.0,4.09,3.1,450.0,1.0,699.36,3.3,3.51,5.85,15.0,25.71,0.92,0.0325,900.0,g,0.058,0.32,0.07
0.0,0.02686,0.24,231,0.87,0.00151,0.93,Pork; loin steak; separable lean 98%; intermuscular fat 2%; grilled,697.91,38.51,8.26,389.44,3.46,5.4e-4,0.0,0.00352,0.0,0.02787,0.78,1.0,0.78,159.83,2.58,0.0,10.67,0.2,30.1,0.09,0.0,1799.0,kg,0.0166,0.93,0.09
