magnesium,iodine,biotin,edible_portion,mercury,vitamin_k1,chromium,potassium,niacin_ne,name,zinc,price,iron,copper,vit_e_a_tocopherol,phosphorus,vitamin_c,thiamin,selenium,protein,calories,o3_epa_dha_dpa,riboflavin,quantity_unit,quantity,folate_dfe,manganese,calcium,vitamin_b6,vitamin_b12,price_100g,molybdenum,vitamin_a_rae,pantothenic_acid
23.0,2.7,0.17,0.84,0.0,0.0,0.0,290.0,15.11,Chicken; liver in flour; fried,3.4,595.0,9.1,0.53,0.34,350.0,13.0,0.37,0.064,20.69,193.25,0.0,1.7,kg,1.0,0.5,0.278,15.0,0.45,0.049,71,0.0,1.11e4,5.5
180.0,0.74,0.13,1.0,0.0,0.0,0.0,540.0,22.8,Nut; peanut; roasted; no salt added,2.4,600.0,1.2,0.5,6.93,388.0,0.0,0.35,0.0046,24.99,622.98,0.0,0.15,kg,1.0,0.145,1.59,31.0,0.3,0.0,60,0.0,0.67,1.7
130.0,3.0,0.098,1.0,0.0,0.0,0.0,480.0,22.75,Peanut butter; smooth & crunchy salt added; no sugar added,1.8,470.0,1.4,0.48,3.85,320.0,0.0,0.0,0.01095,28.81,571.66,0.0,0.14,g,500.0,0.081,1.3,32.0,0.05,0.0,94,0.018,0.84,1.5
90.0,3.0,0.087,1.0,0.0,0.0,0.0,750.0,1.85,Coconut; desiccated,1.7,399.0,3.6,0.55,1.26,160.0,0.0,0.06,0.0032,5.57,604.66,0.0,0.04,g,500.0,0.0091,2.28,22.0,0.3,0.0,80,0.0,0.0,0.81
711.0,1.8,0.0,1.0,0.0,0.0,0.0,2630.0,9.32,Herb; basil; dried,7.1,399.0,89.8,2.1,10.78,274.0,0.8,0.08,0.003,22.98,167.83,0.0,1.2,g,10.0,0.31,9.8,2240.0,1.34,0.0,3990,0.0,72.56,0.84
55.6,0.1,0.0,1.0,0.0,0.0,0.0,500.0,1.61,Spice; cinnamon; ground,1.97,200.0,38.1,0.23,3.36,61.4,28.5,0.08,0.015,3.89,146.15,0.0,0.14,g,32.0,0.006,17.466,1230.0,0.25,0.0,625,0.0,19.21,0.0
35.9,5.5,0.0015,1.0,0.0,0.0,0.0,81.0,6.5,Cheese; Gruyere,3.9,900.0,0.17,0.03,0.58,605.0,0.0,0.06,0.0145,29.79,410.24,0.0,0.28,g,200.0,0.0104,0.017,1010.0,0.08,0.0016,450,0.0,301.08,0.56
38.3,245.0,0.0033,0.37,0.0054,0.0,0.185,259.0,4.46,Scallop; raw,1.94,899.0,0.28,0.11,0.84,193.0,1.2,0.06,0.0231,14.94,80.3,0.0,0.13,g,300.0,0.037,0.082,21.2,0.36,0.00134,810,0.0,38.7,0.13
97.9,9.0,0.0025,1.0,0.0,0.0,0.034,575.0,5.85,Nut; walnut; raw,2.3,900.0,3.3,1.59,15.0,320.0,3.1,0.32,0.058,25.71,699.36,0.0,0.07,g,450.0,0.066,4.09,129.0,0.92,0.0,200,0.0325,3.51,1.13
38.51,0.93,0.00352,0.78,0.0,0.0,0.02686,697.91,10.67,Pork; loin steak; separable lean 98%; intermuscular fat 2%; grilled,3.46,1799.0,2.58,0.24,0.2,389.44,0.78,0.93,0.0166,30.1,159.83,0.0,0.09,kg,1.0,0.00151,0.02787,8.26,0.09,5.4e-4,231,0.0,0.0,0.87
