vitamin_a_rae,name,magnesium,phosphorus,price_100g,folate_dfe,iron,price,riboflavin,thiamin,potassium,vitamin_k1,iodine,quantity,vitamin_b12,calcium,vitamin_b6,calories,niacin_ne,mercury,quantity_unit,vit_e_a_tocopherol,copper,pantothenic_acid,vitamin_c,molybdenum,biotin,o3_epa_dha_dpa,selenium,zinc,chromium,id,protein,edible_portion,manganese
13.36,Baked beans; in tomato sauce; canned; Watties,29.0,90.0,19,0.0375,1.2,80.0,0.0,0.01,280.0,0.0,3.0,420.0,0.0,35.0,0.12,75.6,1.17,0.0001,g,0.0,0.17,0.0,0.0,0.022,0.0,0.0,0.0028,0.55,0.002,38,5.0,1.0,0.33
403.14,Spinach; leafy vegetable; raw; English,74.0,47.0,115,0.199,4.4,399.0,0.24,0.0,710.0,0.1148,11.4,400.0,0.0,69.0,0.16,13.6,1.01,0.0,g,0.0,0.07,0.0,2.9,0.0,0.0,0.001,0.0,0.62,0.0,74,2.5,0.8692,0.74
481.63,Salad; leafy vegetable; raw; Mesclun; composite,31.0,37.0,307,0.157,1.11,399.0,0.25,0.0,400.0,0.1361,8.4,130.0,0.0,150.0,0.31,12.7,0.73,0.0,g,0.0,0.06,0.0,4.4,0.0,0.0,0.001,0.0,0.37,0.0,73,2.5,1.0,0.63
0.0,Rice; white; polished; boiled,8.66,33.2,10,0.003,0.13,289.0,0.03,0.0,15.9,0.0,0.31,1.0,0.0,3.9,0.02,118.01,0.99,0.0,kg,0.0,0.1,0.23,0.0,0.02,0.0012,0.0,0.0,1.23,4.5e-4,39,3.21,1.0,0.722
38.89,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,14.4,124.0,55,0.0,0.0,550.0,1.31,0.02,220.0,0.0,8.9,1.0,5.8e-4,167.0,0.06,63.41,1.29,0.0,kg,0.0,0.0,0.3,0.0,0.0,0.0,0.006,0.0017,0.6,0.0,53,5.68,1.0,0.0047
0.0,Pork; bacon; separable lean; dry fried,42.2,834.0,163,0.002,2.06,1.3e3,0.16,0.56,748.0,0.0,1.06,800.0,0.0006,12.9,0.23,280.16,11.6,2.4e-4,g,0.0,0.14,1.5,0.0,0.00404,0.005,0.0,0.0576,3.87,0.0134,46,41.38,1.0,0.03183
155.31,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,9.8,24.0,21402,0.085,0.34,189.0,0.14,0.0,210.0,0.0,6.0,1.0,0.0,6.3,0.56,25.55,1.05,0.0,ea,0.01,0.04,0.0,144.0,0.0,0.0,0.0,0.0,0.2,0.0,70,0.94,0.8831,0.12
0.0,Spice; cardamom; ground,229.0,178.0,2688,0.0,14.0,699.0,0.18,0.2,1120.0,0.0,2.3,26.0,0.0,383.0,0.23,313.29,2.9,0.0,g,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0187,7.47,0.0,31,10.75,1.0,28.0
22.38,Tempeh; fermented soy beans; fried in sunflower oil,115.0,200.0,240,0.029,9.2,600.0,0.1,0.09,542.0,0.0,0.0,250.0,0.0,74.0,0.16,445.73,7.8,0.0,g,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,35,23.18,1.0,1.94
1.17,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,14.0,28.0,30,0.0141,0.33,299.0,0.02,0.02,260.0,0.0,0.28,1.0,0.0,2.7,0.16,62.68,1.49,0.0,kg,0.06,0.09,0.0,9.0,0.0,0.0,0.0,4.7e-4,0.24,0.0,78,1.41,1.0,0.13
