mercury,price,calories,vitamin_b12,iodine,vitamin_k1,calcium,zinc,name,chromium,price_100g,vitamin_b6,selenium,molybdenum,magnesium,iron,pantothenic_acid,edible_portion,manganese,phosphorus,riboflavin,vitamin_c,folate_dfe,copper,potassium,niacin_ne,vitamin_a_rae,biotin,vit_e_a_tocopherol,quantity_unit,quantity,protein,o3_epa_dha_dpa,thiamin
0.0,595.0,193.25,0.049,2.7,0.0,15.0,3.4,Chicken; liver in flour; fried,0.0,71,0.45,0.064,0.0,23.0,9.1,5.5,0.84,0.278,350.0,1.7,13.0,0.5,0.53,290.0,15.11,1.11e4,0.17,0.34,kg,1.0,20.69,0.0,0.37
0.0,600.0,622.98,0.0,0.74,0.0,31.0,2.4,Nut; peanut; roasted; no salt added,0.0,60,0.3,0.0046,0.0,180.0,1.2,1.7,1.0,1.59,388.0,0.15,0.0,0.145,0.5,540.0,22.8,0.67,0.13,6.93,kg,1.0,24.99,0.0,0.35
0.0,470.0,571.66,0.0,3.0,0.0,32.0,1.8,Peanut butter; smooth & crunchy salt added; no sugar added,0.0,94,0.05,0.01095,0.018,130.0,1.4,1.5,1.0,1.3,320.0,0.14,0.0,0.081,0.48,480.0,22.75,0.84,0.098,3.85,g,500.0,28.81,0.0,0.0
0.0,399.0,604.66,0.0,3.0,0.0,22.0,1.7,Coconut; desiccated,0.0,80,0.3,0.0032,0.0,90.0,3.6,0.81,1.0,2.28,160.0,0.04,0.0,0.0091,0.55,750.0,1.85,0.0,0.087,1.26,g,500.0,5.57,0.0,0.06
0.0,399.0,167.83,0.0,1.8,0.0,2240.0,7.1,Herb; basil; dried,0.0,3990,1.34,0.003,0.0,711.0,89.8,0.84,1.0,9.8,274.0,1.2,0.8,0.31,2.1,2630.0,9.32,72.56,0.0,10.78,g,10.0,22.98,0.0,0.08
0.0,200.0,146.15,0.0,0.1,0.0,1230.0,1.97,Spice; cinnamon; ground,0.0,625,0.25,0.015,0.0,55.6,38.1,0.0,1.0,17.466,61.4,0.14,28.5,0.006,0.23,500.0,1.61,19.21,0.0,3.36,g,32.0,3.89,0.0,0.08
0.0,900.0,410.24,0.0016,5.5,0.0,1010.0,3.9,Cheese; Gruyere,0.0,450,0.08,0.0145,0.0,35.9,0.17,0.56,1.0,0.017,605.0,0.28,0.0,0.0104,0.03,81.0,6.5,301.08,0.0015,0.58,g,200.0,29.79,0.0,0.06
0.0054,899.0,80.3,0.00134,245.0,0.0,21.2,1.94,Scallop; raw,0.185,810,0.36,0.0231,0.0,38.3,0.28,0.13,0.37,0.082,193.0,0.13,1.2,0.037,0.11,259.0,4.46,38.7,0.0033,0.84,g,300.0,14.94,0.0,0.06
0.0,900.0,699.36,0.0,9.0,0.0,129.0,2.3,Nut; walnut; raw,0.034,200,0.92,0.058,0.0325,97.9,3.3,1.13,1.0,4.09,320.0,0.07,3.1,0.066,1.59,575.0,5.85,3.51,0.0025,15.0,g,450.0,25.71,0.0,0.32
0.0,1799.0,159.83,5.4e-4,0.93,0.0,8.26,3.46,Pork; loin steak; separable lean 98%; intermuscular fat 2%; grilled,0.02686,231,0.09,0.0166,0.0,38.51,2.58,0.87,0.78,0.02787,389.44,0.09,0.78,0.00151,0.24,697.91,10.67,0.0,0.00352,0.2,kg,1.0,30.1,0.0,0.93
0.0,499.0,162.24,0.0575,4.7,0.0,5.0,5.1,Lamb; offal; lambs fry; fried,0.0,51,0.19,0.01902,0.0,20.9,5.4,5.22,0.986,0.37,458.8,5.27,0.0,0.43027,13.4,287.2,17.88,19872.0,0.0,1.12,kg,1.0,25.8,0.5509999999999999,1.57
0.004,1.6e3,86.02,0.017,97.0,0.0,72.1,15.0,Oyster; Pacific; flesh; raw,0.0,727,0.04,0.053,0.0,87.6,5.01,0.3,1.0,1.2,164.0,0.27,12.0,0.0099,4.21,191.0,4.2,24.34,0.01,0.85,g,220.0,13.13,0.0,0.08
0.0,149.0,539.76,0.0,2.3,0.0,131.0,10.2,Seed; sesame. roasted,0.0,149,0.75,0.0113,0.0,346.0,7.78,2.14,1.0,1.55,774.0,0.47,0.0,0.098,2.47,406.0,11.64,0.84,0.011,0.25,g,100.0,16.96,0.0,1.21
0.0,699.0,578.05,0.0,11.0,0.0341,34.0,5.5,Nut; cashew; raw,0.0,280,0.35,0.033,0.0,250.0,5.0,1.9,1.0,1.51,530.0,0.19,0.0,0.025,1.9,550.0,7.31,1.0,0.021,0.73,g,250.0,17.01,0.0,0.64
0.0,369.0,135.35,0.096,4.11,0.0,4.2,3.4,Ox; offal; liver; fast-fried,0.0,85,0.45,0.01621,0.0,21.0,7.17,9.8,0.981,0.328,397.0,3.04,0.0,0.59259,5.73,336.0,20.52,21013.7,0.0,1.28,g,440.0,23.3,0.267,0.38
0.0,259.0,229.4,0.067,3.0e3,0.0,240.0,4.4,Seaweed; sea vegetable; sheet; toasted; Nori,0.0,863,1.38,0.02,0.0,360.0,20.0,0.0,1.0,3.9,610.0,2.35,134.0,0.0117,1.3,2.8e3,17.1,1442.05,0.0,1.95,g,30.0,38.75,0.755,0.17
0.0,239.0,342.08,0.0,2.3,0.0,1280.0,3.23,Herb; rosemary; dried,0.0,1195,0.38,0.0046,0.0,220.0,29.3,1.61,1.0,1.87,70.0,0.32,61.2,0.307,0.55,955.0,3.5,313.96,0.0021,9.15,g,20.0,4.88,0.0,0.51
0.0,395.0,15.66,0.0,2.7,0.0,52.7,0.27,Watercress; leafy vegetable; raw,0.0,1927,0.19,1.9e-4,0.0,13.2,2.24,0.08,0.41,0.504,33.3,0.04,75.0,0.28,0.01,180.0,0.77,825.82,3.2e-4,1.3,g,50.0,2.75,0.0,0.12
0.0,1.5e3,107.33,0.0059,95.0,0.0,21.0,0.76,Mussel; green; meat; marinated; assorted flavoured; drained; ready to eat; Sealord,0.0,584,0.13,0.035,0.0,30.0,6.0,0.0,0.514,0.121,158.0,0.23,0.0,0.0973,0.08,59.0,4.59,51.42,0.0,1.05,g,500.0,13.23,0.7010000000000001,0.0
0.0,2.8e3,133.03,6.3e-4,56.0,0.0,22.0,0.64,Snapper; flesh; baked,0.0,373,0.1,0.12,0.0,42.0,0.7,0.5,1.0,0.023,330.0,0.02,0.19,0.006,0.06,608.0,8.6,35.0,0.007,0.3,g,750.0,25.19,0.478,0.1
0.0,1190.0,126.62,0.0008,21.6,0.0,21.0,0.87,Trevally; flesh; microwaved,0.0,119,0.1,0.0369,0.0,36.0,1.74,0.5,1.0,0.0179,281.0,0.07,0.6,0.0,0.12,495.0,8.06,30.0,0.007,0.3,kg,1.0,24.75,0.673,0.2
0.0,700.0,210.95,0.00139,55.0,0.0,65.0,1.3,Egg; chicken; white & yolk; fried in butter,0.0,101,0.03,0.027,0.011,14.0,2.1,0.0,1.0,0.029,230.0,0.38,0.0,0.0875,0.06,160.0,4.5,221.85,0.0,1.52,ea,12.0,15.0,0.0,0.07
0.0,239.0,312.8,0.0,50.7,0.0,646.0,1.09,Spice; cloves; ground,0.0,598,0.0,0.002,0.0,264.0,8.68,0.0,1.0,30.033,105.0,0.27,80.8,0.093,0.35,1.1e3,1.46,16.03,0.0,8.82,g,40.0,5.98,0.0,0.12
0.0,239.0,273.73,0.0,2.3,0.0,1890.0,6.18,Herb; thyme; dried; ground,0.0,1593,1.21,0.0046,0.0,220.0,124.0,0.0,1.0,7.87,201.0,0.4,0.0,0.274,0.86,814.0,8.04,380.84,0.0,7.48,g,15.0,9.13,0.0,0.51
0.0,399.0,376.08,0.0,13.6,0.0,931.0,4.8,Seed; cumin,0.0,1425,0.34,0.0052,0.0,366.0,66.4,0.0,1.0,3.33,499.0,0.33,7.71,0.01,0.87,1790.0,7.55,127.25,0.0,3.33,g,28.0,17.81,0.0,0.63
0.0,300.0,303.4,0.001,8.02,0.0,35.0,1.3,Sausage; black pudding; fried,0.0,86,0.04,0.017,0.0,16.0,20.0,0.6,1.0,0.62,110.0,0.07,1.0,0.005,0.37,140.0,3.91,0.0,0.002,0.24,g,350.0,12.88,0.0,0.09
